Rank,Word_with_Article,IPA,Eng_Approx,Meaning,Verb_Tense,Verb_Mood,Sentence,Sentence_IPA,Sentence_Eng_Approx,Sentence_Translation,Elision_Note,Sentence_Breakdown
183,après,/a.pʁɛ/,ah-preh,after,,,"Après le travail,nous allons boire un verre.",/a.pʁɛ lə tʁa.vaj nu za.lɔ̃ bwaʁ œ̃ vɛʁ/,ah-PREH luh trah-VYE noo zah-LOHN bwahr uhn vair,"After work, we’re going to have a drink.",nous + allons (liaison),Après|after|Prep|/a.pʁɛ/|ah-preh;le(Art)|the|Art|/lə/|luh;travail(le)|work|Noun|/tʁa.vaj/|trah-vye;nous(Pron)|we|Pron|/nu/|noo;allons|go|Verb|/a.lɔ̃/|ah-lohn;boire|to drink|Verb|/bwaʁ/|bwahr;un(Art)|a|Art|/œ̃/|uhn;verre(le)|glass/drink|Noun|/vɛʁ/|vair
184,déjeuner (le),/de.ʒø.ne/,day-zhuh-nay,lunch,,,Je prends mon déjeuner vers midi avec mes collègues.,/ʒə pʁɑ̃ mɔ̃ de.ʒø.ne vɛʁ mi.di a.vɛk me kɔ.lɛɡ/,zhuh prahn mohn day-zhuh-NAY vair mee-DEE ah-vek may koh-LEG,I have my lunch around midday with my colleagues.,,Je(Pron)|I|Pron|/ʒə/|zhuh;prends|take|Verb|/pʁɑ̃/|prahn;mon(Det)|my|Det|/mɔ̃/|mohn;déjeuner(le)|lunch|Noun|/de.ʒø.ne/|day-zhuh-nay;vers|around|Prep|/vɛʁ/|vair;midi(le)|midday|Noun|/mi.di/|mee-dee;avec|with|Prep|/a.vɛk/|ah-vek;mes(Det)|my|Det|/me/|may;collègues(les)|colleagues|Noun|/kɔ.lɛɡ/|koh-leg
185,dîner (le),/di.ne/,dee-nay,dinner,,,Nous préparons le dîner ensemble dans la petite cuisine.,/nu pʁe.pa.ʁɔ̃ lə di.ne ɑ̃.sɑ̃bl dɑ̃ la pə.tit kɥi.zin/,noo pray-pah-ROHN luh dee-NAY ahn-sahmbl dahn lah puh-TEE kwee-ZEEN,We’re making dinner together in the small kitchen.,,Nous(Pron)|We|Pron|/nu/|noo;préparons|prepare|Verb|/pʁe.pa.ʁɔ̃/|pray-pah-rohn;le(Art)|the|Art|/lə/|luh;dîner(le)|dinner|Noun|/di.ne/|dee-nay;ensemble|together|Adv|/ɑ̃.sɑ̃bl/|ahn-sahmbl;dans|in|Prep|/dɑ̃/|dahn;la(Art)|the|Art|/la/|lah;petite|small|Adj|/pə.tit/|puh-teet;cuisine(la)|kitchen|Noun|/kɥi.zin/|kwee-zeen
186,petit déjeuner (le),/pə.ti de.ʒø.ne/,puh-tee day-zhuh-nay,breakfast,,,Le petit déjeuner est prêt sur la table ce matin.,/lə pə.ti de.ʒø.ne ɛ t‿pʁɛ syʁ la tabl sə ma.tɛ̃/,luh puh-TEE day-zhuh-NAY eh preh sewr lah tabl suh mah-TEHN,Breakfast is ready on the table this morning.,est + prêt (liaison t),Le(Art)|The|Art|/lə/|luh;petit|small|Adj|/pə.ti/|puh-tee;déjeuner(le)|breakfast|Noun|/de.ʒø.ne/|day-zhuh-nay;est|is|Verb|/ɛ/|eh;prêt|ready|Adj|/pʁɛ/|preh;sur|on|Prep|/syʁ/|sur;la(Art)|the|Art|/la/|lah;table(la)|table|Noun|/tabl/|tabl;ce(Det)|this|Det|/sə/|suh;matin(le)|morning|Noun|/ma.tɛ̃/|mah-tehn
187,faim (la),/fɛ̃/,fehn,hunger,,,"J'ai faim,mais je peux attendre encore un peu.",/ʒe fɛ̃ mɛ ʒə pø a.tɑ̃dʁ ɑ̃.kɔʁ œ̃ pø/,zhay fehn meh zhuh puh ah-TAHN-druh ahn-KOR uhn puh,"I’m hungry, but I can wait a bit longer.",,J'|I|Pron|/ʒ/|zh;ai|have|Verb|/e/|ay;faim(la)|hunger|Noun|/fɛ̃/|fehn;mais|but|Conj|/mɛ/|meh;je(Pron)|I|Pron|/ʒə/|zhuh;peux|can|Verb|/pø/|puh;attendre|to wait|Verb|/a.tɑ̃dʁ/|ah-tahn-druh;encore|again|Adv|/ɑ̃.kɔʁ/|ahn-kor;un(Det)|a|Det|/œ̃/|uhn;peu|little|Adv|/pø/|puh
188,soif (la),/swaf/,swaf,thirst,,,"J'ai soif,alors je bois un grand verre d'eau.",/ʒe swaf a.lɔʁ ʒə bwa z‿œ̃ ɡʁɑ̃ vɛʁ d‿o/,zhay swaf ah-LOR zhuh bwah zuhn grahn vair doh,"I’m thirsty, so I drink a big glass of water.",un + (liaison);de + eau -> d'eau,J'|I|Pron|/ʒ/|zh;ai|have|Verb|/e/|ay;soif(la)|thirst|Noun|/swaf/|swaf;alors|so|Adv|/a.lɔʁ/|ah-lor;je(Pron)|I|Pron|/ʒə/|zhuh;bois|drink|Verb|/bwa/|bwah;un(Art)|a|Art|/œ̃/|uhn;grand|big|Adj|/ɡʁɑ̃/|grahn;verre(le)|glass|Noun|/vɛʁ/|vair;d'|of|Prep|/d/|d;eau(l')|water|Noun|/o/|oh
189,vendre,/vɑ̃dʁ/,vahn-druh,to sell,Infinitive,Infinitive,Il veut vendre sa voiture avant l'hiver prochain.,/il vø vɑ̃dʁ sa vwa.tyʁ a.vɑ̃ li.vɛʁ pʁɔ.ʃɛ̃/,eel vuh vahn-druh sah vwah-TYUR ah-VAHN lee-VAIR pro-SHEHN,He wants to sell his car before next winter.,avant + l’ (elision),Il(Pron)|He|Pron|/il/|eel;veut|wants|Verb|/vø/|vuh;vendre|to sell|Verb|/vɑ̃dʁ/|vahn-druh;sa(Det)|his|Det|/sa/|sah;voiture(la)|car|Noun|/vwa.tyʁ/|vwah-tyur;avant|before|Prep|/a.vɑ̃/|ah-vahn;l'|the|Art|/l/|l;hiver(le)|winter|Noun|/i.vɛʁ/|ee-vair;prochain|next|Adj|/pʁɔ.ʃɛ̃/|pro-shehn
190,choisir,/ʃwa.ziʁ/,shwah-zeer,to choose,Infinitive,Infinitive,Tu dois choisir une option claire pour demain matin.,/ty dwa ʃwa.ziʁ yn ɔp.sjɔ̃ klɛʁ puʁ də.mɛ̃ ma.tɛ̃/,tew dwah shwah-ZEER een op-SYOHN klair poor duh-mehn mah-TEHN,You must choose a clear option for tomorrow morning.,,Tu(Pron)|You|Pron|/ty/|tew;dois|must|Verb|/dwa/|dwah;choisir|to choose|Verb|/ʃwa.ziʁ/|shwah-zeer;une(Art)|a|Art|/yn/|een;option(la)|option|Noun|/ɔp.sjɔ̃/|op-syohn;claire|clear|Adj|/klɛʁ/|klair;pour|for|Prep|/puʁ/|poor;demain|tomorrow|Adv|/də.mɛ̃/|duh-mehn;matin(le)|morning|Noun|/ma.tɛ̃/|mah-tehn
191,décider,/de.si.de/,day-see-day,to decide,Infinitive,Infinitive,Nous devons décider rapidement avant la réunion de lundi.,/nu də.vɔ̃ de.si.de ʁa.pid.mɑ̃ a.vɑ̃ la ʁe.y.njɔ̃ də lœ̃.di/,noo duh-VOHN day-see-DAY rah-peed-MAHN ah-VAHN lah ray-ew-NYOHN duh lehn-DEE,We have to decide quickly before Monday’s meeting.,,Nous(Pron)|We|Pron|/nu/|noo;devons|must|Verb|/də.vɔ̃/|duh-vohn;décider|decide|Verb|/de.si.de/|day-see-day;rapidement|quickly|Adv|/ʁa.pid.mɑ̃/|rah-peed-mahn;avant|before|Prep|/a.vɑ̃/|ah-vahn;la(Art)|the|Art|/la/|lah;réunion(la)|meeting|Noun|/ʁe.y.njɔ̃/|ray-ew-nyohn;de|of|Prep|/də/|duh;lundi(le)|Monday|Noun|/lœ̃.di/|lehn-dee
192,expliquer,/ɛk.spli.ke/,eks-plee-kay,to explain,Infinitive,Infinitive,Peux-tu m'expliquer cette règle avec un exemple simple ?,/pø ty m‿ɛk.spli.ke sɛt ʁɛɡl a.vɛk œ̃ n‿ɛɡ.zɑ̃pl sɛ̃pl/,puh-tew meks-plee-KAY set regl ah-vek uhn neg-ZAHMPL sehmpl,Can you explain this rule to me with a simple example?,me + expliquer -> m'expliquer;un + exemple (liaison),Peux-tu|can you|Verb|/pø ty/|puh tew;m'|to me|Pron|/m/|m;expliquer|explain|Verb|/ɛk.spli.ke/|eks-plee-kay;cette(Det)|this|Det|/sɛt/|set;règle(la)|rule|Noun|/ʁɛɡl/|regl;avec|with|Prep|/a.vɛk/|ah-vek;un(Art)|a|Art|/œ̃/|uhn;exemple(un)|example|Noun|/ɛɡ.zɑ̃pl/|eg-zahmpl;simple|simple|Adj|/sɛ̃pl/|sehmpl
193,répondre,/ʁe.pɔ̃dʁ/,ray-pond-ruh,to answer,Infinitive,Infinitive,Elle répond toujours poliment quand on lui écrit.,/ɛl ʁe.pɔ̃ tu.ʒuʁ pɔ.li.mɑ̃ kɑ̃ t‿ɔ̃ lɥi e.kʁi/,el ray-PON too-ZHOOR poh-lee-MAHN kahn tohn lwee ay-KREE,She always answers politely when people write to her.,quand + on (liaison),Elle(Pron)|she|Pron|/ɛl/|el;répond|answers|Verb|/ʁe.pɔ̃/|ray-pon;toujours|always|Adv|/tu.ʒuʁ/|too-zhoor;poliment|politely|Adv|/pɔ.li.mɑ̃/|poh-lee-mahn;quand|when|Conj|/kɑ̃/|kahn;on(Pron)|one/we|Pron|/ɔ̃/|ohn;lui(Pron)|to her|Pron|/lɥi/|lwee;écrit|writes|Verb|/e.kʁi/|ay-kree
194,attendre,/a.tɑ̃dʁ/,ah-tahn-druh,to wait,Infinitive,Infinitive,Nous attendons le train depuis plus de vingt minutes.,/nu za.tɑ̃.dɔ̃ lə tʁɛ̃ də.pɥi ply də vɛ̃ mi.nyt/,noo zah-TAHN-dohn luh trehn duh-pwee plew duh vehn mee-NOOT,We’ve been waiting for the train for more than twenty minutes.,nous + attendons (liaison),Nous(Pron)|we|Pron|/nu/|noo;attendons|wait|Verb|/a.tɑ̃.dɔ̃/|ah-tahn-dohn;le(Art)|the|Art|/lə/|luh;train(le)|train|Noun|/tʁɛ̃/|trehn;depuis|for/since|Prep|/də.pɥi/|duh-pwee;plus|more|Adv|/ply/|plew;de|than|Prep|/də/|duh;vingt|twenty|Num|/vɛ̃/|vehn;minutes(les)|minutes|Noun|/mi.nyt/|mee-newt
195,commencer,/kɔ.mɑ̃.se/,koh-mahn-say,to start,Infinitive,Infinitive,Le cours commence à neuf heures précises aujourd'hui.,/lə kuʁ kɔ.mɑ̃s a nœv œʁ pʁe.siz o.ʒuʁ.dɥi/,luh koor koh-MAHNS ah nuhv ur pray-ZEEZ oh-zhoor-DWEE,The class starts at exactly nine o’clock today.,,Le(Art)|the|Art|/lə/|luh;cours(le)|class|Noun|/kuʁ/|koor;commence|starts|Verb|/kɔ.mɑ̃s/|koh-mahns;à|at|Prep|/a/|ah;neuf|nine|Num|/nœv/|nuhv;heures(les)|hours|Noun|/œʁ/|ur;précises|exact|Adj|/pʁe.siz/|pray-zeez;aujourd'hui|today|Adv|/o.ʒuʁ.dɥi/|oh-zhoor-dwee
196,finir,/fi.niʁ/,fee-neer,to finish,Infinitive,Infinitive,Je vais finir ce dossier avant la fin de journée.,/ʒə vɛ fi.niʁ sə dɔ.sje a.vɑ̃ la fɛ̃ də ʒuʁ.ne/,zhuh veh fee-NEER suh doh-SYAY ah-VAHN lah fehn duh zhoor-NAY,I’m going to finish this file before the end of the day.,,Je(Pron)|I|Pron|/ʒə/|zhuh;vais|go|Verb|/vɛ/|veh;finir|finish|Verb|/fi.niʁ/|fee-neer;ce(Det)|this|Det|/sə/|suh;dossier(le)|file|Noun|/dɔ.sje/|doh-syay;avant|before|Prep|/a.vɑ̃/|ah-vahn;la(Art)|the|Art|/la/|lah;fin(la)|end|Noun|/fɛ̃/|fehn;de|of|Prep|/də/|duh;journée(la)|day|Noun|/ʒuʁ.ne/|zhoor-nay
197,allumer,/a.ly.me/,ah-lew-may,to switch on,Infinitive,Infinitive,"Peux-tu allumer la lumière dans le couloir,s'il te plaît ?",/pø ty a.ly.me la ly.mjɛʁ dɑ̃ lə ku.lwaʁ sil tə plɛ/,puh-tew ah-lew-MAY lah lew-MYAIR dahn luh koo-LWAR seel tuh pleh,"Can you switch on the light in the corridor, please?",,Peux-tu|can you|Verb|/pø ty/|puh tew;allumer|switch on|Verb|/a.ly.me/|ah-lew-may;la(Art)|the|Art|/la/|lah;lumière(la)|light|Noun|/ly.mjɛʁ/|lew-myair;dans|in|Prep|/dɑ̃/|dahn;le(Art)|the|Art|/lə/|luh;couloir(le)|corridor|Noun|/ku.lwaʁ/|koo-lwar;s'il te plaît|please|Expr|/sil tə plɛ/|seel tuh pleh
198,éteindre,/e.tɛ̃dʁ/,ay-tehn-druh,to switch off,Infinitive,Infinitive,N'oublie pas d'éteindre l'ordinateur avant de partir.,/n‿u.bli pa d‿e.tɛ̃dʁ l‿ɔʁ.di.na.tœʁ a.vɑ̃ də paʁ.tiʁ/,noo-BLEE pah day-TEHN-druh lor-dee-nah-TUR ah-VAHN duh par-TEER,Don’t forget to switch off the computer before leaving.,ne + oublie -> n'oublie;de + éteindre -> d'éteindre;le + ordinateur -> l'ordinateur,N'|don’t|Adv|/n/|n;oublie|forget|Verb|/u.bli/|oo-blee;pas|not|Adv|/pa/|pah;d'|to|Prep|/d/|d;éteindre|switch off|Verb|/e.tɛ̃dʁ/|ay-tehn-druh;l'|the|Art|/l/|l;ordinateur(le)|computer|Noun|/ɔʁ.di.na.tœʁ/|or-dee-nah-tur;avant|before|Prep|/a.vɑ̃/|ah-vahn;de|to|Prep|/də/|duh;partir|leave|Verb|/paʁ.tiʁ/|par-teer
199,propre,/pʁɔpʁ/,prohpr,clean,,,La salle de bain reste propre avec un peu d'effort.,/la sal də bɛ̃ ʁɛst pʁɔpʁ a.vɛk œ̃ pø d‿ɛ.fɔʁ/,lah sal duh behn rest prohpr ah-vek uhn puh deh-FOR,The bathroom stays clean with a bit of effort.,de + effort -> d'effort,La(Art)|the|Art|/la/|lah;salle(la)|room|Noun|/sal/|sal;de|of|Prep|/də/|duh;bain(le)|bath|Noun|/bɛ̃/|behn;reste|stays|Verb|/ʁɛst/|rest;propre|clean|Adj|/pʁɔpʁ/|prohpr;avec|with|Prep|/a.vɛk/|ah-vek;un(Det)|a|Det|/œ̃/|uhn;peu|little|Noun|/pø/|puh;d'|of|Prep|/d/|d;effort(le)|effort|Noun|/ɛ.fɔʁ/|eh-for
200,sale,/sal/,sal,dirty,,,Tes chaussures sont sales après la marche sous la pluie.,/te ʃo.syʁ sɔ̃ sal a.pʁɛ la maʁʃ su la plɥi/,tay shoh-SYUR sohn sal ah-PREH lah marsh soo lah plwee,Your shoes are dirty after the walk in the rain.,,Tes(Det)|your|Det|/te/|tay;chaussures(les)|shoes|Noun|/ʃo.syʁ/|shoh-syur;sont|are|Verb|/sɔ̃/|sohn;sales|dirty|Adj|/sal/|sal;après|after|Prep|/a.pʁɛ/|ah-preh;la(Art)|the|Art|/la/|lah;marche(la)|walk|Noun|/maʁʃ/|marsh;sous|under/in|Prep|/su/|soo;la(Art)|the|Art|/la/|lah;pluie(la)|rain|Noun|/plɥi/|plwee
201,facile,/fa.sil/,fah-seel,easy,,,Ce devoir est facile si tu lis bien la consigne.,/sə də.vwaʁ ɛ t‿fa.sil si ty li bjɛ̃ la kɔ̃.siɲ/,suh duh-VWAR eh fah-SEEL see tew lee byehn lah kon-SEEN-yuh,This homework is easy if you read the instructions carefully.,est + facile (liaison t),Ce(Det)|this|Det|/sə/|suh;devoir(le)|homework|Noun|/də.vwaʁ/|duh-vwar;est|is|Verb|/ɛ/|eh;facile|easy|Adj|/fa.sil/|fah-seel;si|if|Conj|/si/|see;tu(Pron)|you|Pron|/ty/|tew;lis|read|Verb|/li/|lee;bien|well|Adv|/bjɛ̃/|byehn;la(Art)|the|Art|/la/|lah;consigne(la)|instruction|Noun|/kɔ̃.siɲ/|kon-seen-yuh
202,compliqué,/kɔ̃.pli.ke/,kohn-plee-kay,complicated,,,La situation devient compliquée quand personne ne parle.,/la si.tɥa.sjɔ̃ də.vjɛ̃ kɔ̃.pli.ke kɑ̃ pɛʁ.sɔn nə paʁl/,lah see-twha-SYOHN duh-vyehn kohn-plee-KAY kahn pair-SON nuh parl,The situation gets complicated when nobody speaks.,,La(Art)|the|Art|/la/|lah;situation(la)|situation|Noun|/si.tɥa.sjɔ̃/|see-twha-syohn;devient|becomes|Verb|/də.vjɛ̃/|duh-vyehn;compliquée|complicated|Adj|/kɔ̃.pli.ke/|kohn-plee-kay;quand|when|Conj|/kɑ̃/|kahn;personne|nobody|Pron|/pɛʁ.sɔn/|pair-son;ne|not|Adv|/nə/|nuh;parle|speaks|Verb|/paʁl/|parl
203,envie (l’),/ɑ̃.vi/,ahn-vee,desire / urge,,,"J'ai envie de sortir,mais il fait froid dehors.",/ʒe ɑ̃.vi də sɔʁ.tiʁ mɛ il fɛ fʁwa də.ɔʁ/,zhay ahn-VEE duh sor-TEER meh eel feh frwah duh-OR,"I feel like going out, but it’s cold outside.",,J'|I|Pron|/ʒ/|zh;ai|have|Verb|/e/|ay;envie(l')|urge|Noun|/ɑ̃.vi/|ahn-vee;de|to|Prep|/də/|duh;sortir|go out|Verb|/sɔʁ.tiʁ/|sor-teer;mais|but|Conj|/mɛ/|meh;il fait|it is|Verb|/il fɛ/|eel feh;froid|cold|Adj|/fʁwa/|frwah;dehors|outside|Adv|/də.ɔʁ/|duh-or
204,peur (la),/pœʁ/,pur,fear,,,Elle a peur du noir quand la rue est vide.,/ɛl a pœʁ dy nwaʁ kɑ̃ la ʁy ɛ vid/,el ah pur dew nwahr kahn lah rue eh veed,She’s afraid of the dark when the street is empty.,de + le -> du,Elle(Pron)|she|Pron|/ɛl/|el;a|has|Verb|/a/|ah;peur(la)|fear|Noun|/pœʁ/|pur;du(Art)|of the|Art|/dy/|dew;noir(le)|dark|Noun|/nwaʁ/|nwahr;quand|when|Conj|/kɑ̃/|kahn;la(Art)|the|Art|/la/|lah;rue(la)|street|Noun|/ʁy/|rue;est|is|Verb|/ɛ/|eh;vide|empty|Adj|/vid/|veed
205,rire,/ʁiʁ/,reer,to laugh,Infinitive,Infinitive,On peut rire un peu pour oublier les soucis.,/ɔ̃ pø ʁiʁ œ̃ pø puʁ u.bli.je le su.si/,ohn puh reer uhn puh poor oo-blee-YAY lay soo-SEE,We can laugh a little to forget our worries.,,On(Pron)|we|Pron|/ɔ̃/|ohn;peut|can|Verb|/pø/|puh;rire|laugh|Verb|/ʁiʁ/|reer;un(Det)|a|Det|/œ̃/|uhn;peu|little|Adv|/pø/|puh;pour|to|Prep|/puʁ/|poor;oublier|forget|Verb|/u.bli.je/|oo-blee-yay;les(Art)|the|Art|/le/|lay;soucis(les)|worries|Noun|/su.si/|soo-see
206,pleurer,/plœ.ʁe/,pluh-ray,to cry,Infinitive,Infinitive,Il ne va pas pleurer pour ça.,/il nə va pa plœ.ʁe puʁ sa/,eel nuh vah pah pluh-RAY poor sah,He’s not going to cry about that.,,Il(Pron)|he|Pron|/il/|eel;ne|not|Adv|/nə/|nuh;va|goes|Verb|/va/|vah;pas|not|Adv|/pa/|pah;pleurer|to cry|Verb|/plœ.ʁe/|pluh-ray;pour|for|Prep|/puʁ/|poor;ça(Pron)|that|Pron|/sa/|sah
207,sourire,/su.ʁiʁ/,soo-reer,to smile,Infinitive,Infinitive,Elle sourit toujours quand elle entend ça.,/ɛl su.ʁi tu.ʒuʁ kɑ̃ ɛl ɑ̃.tɑ̃ sa/,el soo-REE too-ZHOOR kahn el ahn-TAHN sah,She always smiles when she hears that.,,Elle(Pron)|she|Pron|/ɛl/|el;sourit|smiles|Verb|/su.ʁi/|soo-ree;toujours|always|Adv|/tu.ʒuʁ/|too-zhoor;quand|when|Conj|/kɑ̃/|kahn;elle(Pron)|she|Pron|/ɛl/|el;entend|hears|Verb|/ɑ̃.tɑ̃/|ahn-tahn;ça(Pron)|that|Pron|/sa/|sah
208,chanter,/ʃɑ̃.te/,shahn-tay,to sing,Infinitive,Infinitive,Nous aimons chanter ensemble pendant le trajet.,/nu z‿ɛm ʃɑ̃.te ɑ̃.sɑ̃bl pɑ̃.dɑ̃ lə tʁa.ʒɛ/,noo zem shahn-TAY ahn-sahmbl pahn-DAHN luh trah-ZHEH,We like singing together during the journey.,nous + aimons (liaison),Nous(Pron)|we|Pron|/nu/|noo;aimons|like|Verb|/ɛm/|em;chanter|to sing|Verb|/ʃɑ̃.te/|shahn-tay;ensemble|together|Adv|/ɑ̃.sɑ̃bl/|ahn-sahmbl;pendant|during|Prep|/pɑ̃.dɑ̃/|pahn-dahn;le(Art)|the|Art|/lə/|luh;trajet(le)|journey|Noun|/tʁa.ʒɛ/|trah-zheh
209,danser,/dɑ̃.se/,dahn-say,to dance,Infinitive,Infinitive,Ils vont danser toute la nuit ici.,/il vɔ̃ dɑ̃.se tut la nɥi i.si/,eel vohn dahn-SAY toot lah nwee ee-SEE,They’re going to dance all night here.,,Ils(Pron)|they|Pron|/il/|eel;vont|go|Verb|/vɔ̃/|vohn;danser|to dance|Verb|/dɑ̃.se/|dahn-say;toute|all|Adj|/tut/|toot;la(Art)|the|Art|/la/|lah;nuit(la)|night|Noun|/nɥi/|nwee;ici|here|Adv|/i.si/|ee-see
210,marcher,/maʁ.ʃe/,mar-shay,to walk,Infinitive,Infinitive,Je marche vite pour attraper le bus.,/ʒə maʁʃ vit puʁ a.tʁa.pe lə bys/,zhuh marsh veet poor ah-trah-PAY luh bewss,I walk quickly to catch the bus.,,Je(Pron)|I|Pron|/ʒə/|zhuh;marche|walk|Verb|/maʁʃ/|marsh;vite|quickly|Adv|/vit/|veet;pour|to|Prep|/puʁ/|poor;attraper|to catch|Verb|/a.tʁa.pe/|ah-trah-pay;le(Art)|the|Art|/lə/|luh;bus(le)|bus|Noun|/bys/|bewss
211,courir,/ku.ʁiʁ/,koo-reer,to run,Infinitive,Infinitive,Tu peux courir sans te blesser aujourd'hui.,/ty pø ku.ʁiʁ sɑ̃ tə blɛ.se o.ʒuʁ.dɥi/,tew puh koo-REER sahn tuh bleh-SAY oh-zhoor-DWEE,You can run without hurting yourself today.,,Tu(Pron)|you|Pron|/ty/|tew;peux|can|Verb|/pø/|puh;courir|to run|Verb|/ku.ʁiʁ/|koo-reer;sans|without|Prep|/sɑ̃/|sahn;te(Pron)|yourself|Pron|/tə/|tuh;blesser|to hurt|Verb|/blɛ.se/|bleh-say;aujourd'hui|today|Adv|/o.ʒuʁ.dɥi/|oh-zhoor-dwee
212,regarder,/ʁə.ɡaʁ.de/,ruh-gar-day,to watch / to look at,Infinitive,Infinitive,Je regarde les infos chaque soir à la télé.,/ʒə ʁə.ɡaʁd le z‿ɛ̃.fo ʃak swaʁ a la te.le/,zhuh ruh-GARD lay zehn-FO shak swar ah lah tay-LAY,I watch the news every evening on TV.,les + infos (liaison),Je(Pron)|I|Pron|/ʒə/|zhuh;regarde|watch|Verb|/ʁə.ɡaʁd/|ruh-gard;les(Art)|the|Art|/le/|lay;infos(les)|news|Noun|/ɛ̃.fo/|ehn-fo;chaque|every|Det|/ʃak/|shak;soir(le)|evening|Noun|/swaʁ/|swar;à|on|Prep|/a/|ah;la(Art)|the|Art|/la/|lah;télé(la)|TV|Noun|/te.le/|tay-lay
213,écrire,/e.kʁiʁ/,ay-kreer,to write,Infinitive,Infinitive,Il préfère écrire une lettre plutôt que téléphoner.,/il pʁe.fɛʁ e.kʁiʁ yn lɛtʁ ply.to kə te.le.fɔ.ne/,eel pray-FAIR ay-KREER een let-ruh plew-TOH kuh tay-lay-foh-NAY,He prefers to write a letter rather than phone.,,Il(Pron)|he|Pron|/il/|eel;préfère|prefers|Verb|/pʁe.fɛʁ/|pray-fair;écrire|to write|Verb|/e.kʁiʁ/|ay-kreer;une(Art)|a|Art|/yn/|een;lettre(la)|letter|Noun|/lɛtʁ/|let-ruh;plutôt|rather|Adv|/ply.to/|plew-toh;que|than|Conj|/kə/|kuh;téléphoner|to phone|Verb|/te.le.fɔ.ne/|tay-lay-foh-nay
214,lire,/liʁ/,leer,to read,Infinitive,Infinitive,Je lis ce journal dans le métro le matin.,/ʒə li sə ʒuʁ.nal dɑ̃ lə me.tʁo lə ma.tɛ̃/,zhuh lee suh zhoor-NAL dahn luh may-TROH luh mah-TEHN,I read this paper on the metro in the morning.,,Je(Pron)|I|Pron|/ʒə/|zhuh;lis|read|Verb|/li/|lee;ce(Det)|this|Det|/sə/|suh;journal(le)|newspaper|Noun|/ʒuʁ.nal/|zhoor-nal;dans|in|Prep|/dɑ̃/|dahn;le(Art)|the|Art|/lə/|luh;métro(le)|metro|Noun|/me.tʁo/|may-troh;le(Art)|the|Art|/lə/|luh;matin(le)|morning|Noun|/ma.tɛ̃/|mah-tehn
215,apprendre,/a.pʁɑ̃dʁ/,ah-prahn-druh,to learn,Infinitive,Infinitive,Nous apprenons le français avec des dialogues courts.,/nu za.pʁə.nɔ̃ lə fʁɑ̃.sɛ a.vɛk de dja.lɔɡ kuʁ/,noo zah-pruh-NOHN luh frahn-SEH ah-vek day dya-LOG koor,We learn French with short dialogues.,nous + apprenons (liaison),Nous(Pron)|we|Pron|/nu/|noo;apprenons|learn|Verb|/a.pʁə.nɔ̃/|ah-pruh-nohn;le(Art)|the|Art|/lə/|luh;français(le)|French|Noun|/fʁɑ̃.sɛ/|frahn-seh;avec|with|Prep|/a.vɛk/|ah-vek;des(Art)|some|Art|/de/|day;dialogues(les)|dialogues|Noun|/dja.lɔɡ/|dya-log;courts|short|Adj|/kuʁ/|koor
216,oublier,/u.bli.je/,oo-blee-yay,to forget,Infinitive,Infinitive,N'oublie pas d'oublier cette vieille histoire triste.,/n‿u.bli pa d‿u.bli.je sɛt vjɛj is.twaʁ tʁist/,noo-BLEE pah doo-blee-YAY set vyeh-yuh ees-TWAHR treest,Don’t forget to forget that old sad story.,ne + oublie -> n'oublie;de + oublier -> d'oublier,N'|don’t|Adv|/n/|n;oublie|forget|Verb|/u.bli/|oo-blee;pas|not|Adv|/pa/|pah;d'|to|Prep|/d/|d;oublier|to forget|Verb|/u.bli.je/|oo-blee-yay;cette(Det)|that|Det|/sɛt/|set;vieille|old|Adj|/vjɛj/|vyeh-yuh;histoire(la)|story|Noun|/is.twaʁ/|ees-twahr;triste|sad|Adj|/tʁist/|treest
217,se souvenir,/sə su.və.niʁ/,suh soo-vuh-neer,to remember,Infinitive,Infinitive,Je me souviens encore de ton premier message.,/ʒə mə su.vjɛ̃ ɑ̃.kɔʁ də tɔ̃ pʁə.mje me.saʒ/,zhuh muh soo-VYEHN ahn-KOR duh tohn pruh-MYAY may-SAZH,I still remember your first message.,,Je(Pron)|I|Pron|/ʒə/|zhuh;me(Pron)|myself|Pron|/mə/|muh;souviens|remember|Verb|/su.vjɛ̃/|soo-vyehn;encore|still|Adv|/ɑ̃.kɔʁ/|ahn-kor;de|of|Prep|/də/|duh;ton(Det)|your|Det|/tɔ̃/|tohn;premier|first|Adj|/pʁə.mje/|pruh-myay;message(le)|message|Noun|/me.saʒ/|may-sazh
218,chercher,/ʃɛʁ.ʃe/,shair-shay,to look for,Infinitive,Infinitive,Elle cherche ses clés dans tous les sacs.,/ɛl ʃɛʁʃ se kle dɑ̃ tus le sak/,el shairsh say klay dahn too lay sak,She’s looking for her keys in all the bags.,,Elle(Pron)|she|Pron|/ɛl/|el;cherche|looks for|Verb|/ʃɛʁʃ/|shairsh;ses(Det)|her|Det|/se/|say;clés(les)|keys|Noun|/kle/|klay;dans|in|Prep|/dɑ̃/|dahn;tous|all|Det|/tus/|toos;les(Art)|the|Art|/le/|lay;sacs(les)|bags|Noun|/sak/|sak
